openalex_id,doi,title,publication_year,publication_date,type,cited_by_count,matched_queries,canonical_terms,themes
https://openalex.org/W2727767368,https://doi.org/10.1299/jsmermd.2015._2a2-f02_1,2A2-F02 Vane control of quadrotor helicopter for approaching to wall surface,2015,2015-01-01,article,0,quadrotor,attitude_control,geometry_tracking
https://openalex.org/W1940767929,https://doi.org/10.1109/cca.2015.7320681,3D inverted pendulum stabilization on a quadrotor via bilinear system approximations,2015,2015-09-01,article,9,quadrotor,optimal_control,optimization_constraints
https://openalex.org/W7146062305,,3D Inverted Pendulum Stabilization on a Quadrotor via Bilinear System Approximations,2015,2015-09-01,article,0,quadrotor,optimal_control,optimization_constraints
https://openalex.org/W1534149449,https://doi.org/10.1109/icuas.2015.7152434,3D trajectory tracking for a quadcopter using MPC on a 3D terrain,2015,2015-06-01,article,6,quadcopter,mpc;trajectory_tracking,geometry_tracking;optimization_constraints
https://openalex.org/W1649120654,https://doi.org/10.1109/icinfa.2015.7279703,A 3D path planning approach for quadrotor UAV navigation,2015,2015-08-01,article,8,quadrotor,path_planning,formation_safety
https://openalex.org/W1514851975,https://doi.org/10.3390/aerospace2020325,A Comparison of Closed-Loop Performance of Multirotor Configurations Using Non-Linear Dynamic Inversion Control,2015,2015-06-05,article,17,multirotor,attitude_control,geometry_tracking
https://openalex.org/W4254560018,https://doi.org/10.18178/wcse.2015.04.005,A Fuzzy Controller: Using Monocular Computer Vision to See and Avoid Obstacle for Quadcopter,2015,2015-01-01,article,2,quadcopter,obstacle_avoidance,formation_safety
https://openalex.org/W2171600755,https://doi.org/10.1080/00207179.2015.1039593,A geometric approach for quadrotor trajectory tracking control,2015,2015-04-14,article,29,quadrotor,attitude_control;nonlinear_control;trajectory_tracking,geometry_tracking
https://openalex.org/W1548299109,https://doi.org/10.1109/ccdc.2015.7162172,A gradient optimization based PID tuning approach on quadrotor,2015,2015-05-01,article,20,quadrotor,pid_control,geometry_tracking
https://openalex.org/W2556334750,https://doi.org/10.1109/iecon.2015.7392534,A high fidelity simulator for a quadrotor UAV using ROS and Gazebo,2015,2015-11-01,article,33,quadrotor,obstacle_avoidance;path_planning,formation_safety
https://openalex.org/W2148251975,https://doi.org/10.1177/0954410015569583,A hybrid optimal backstepping and adaptive fuzzy control for autonomous quadrotor helicopter with time-varying disturbance,2015,2015-02-08,article,21,quadrotor,adaptive_control;nonlinear_control,geometry_tracking;robust_adaptive
https://openalex.org/W2178143960,https://doi.org/10.1007/s10846-015-0293-0,A Learning-Based Fault Tolerant Tracking Control of an Unmanned Quadrotor Helicopter,2015,2015-10-22,article,57,quadrotor,fault_tolerant;state_estimation,allocation_fault;estimation_learning
